iter	RMSE
0	74096.26344
1	71911.14935
2	70033.87977
3	68250.31228
4	67171.77976
5	66298.33448
6	65553.3547
7	64892.03607
8	64521.744
9	64289.02558
10	64036.6356
11	63810.43231
12	63611.88862
13	63478.57923
14	63362.52628
15	63226.02639
16	63148.66756
17	63082.5789
18	62985.53663
19	62923.39806
20	62883.9581
21	62842.75473
22	62780.8676
23	62738.50081
24	62692.16818
25	62660.32256
26	62610.87483
27	62570.94372
28	62542.28221
29	62513.12017
30	62486.23296
31	62453.87161
32	62428.02525
33	62409.40637
34	62390.40806
35	62359.34909
36	62341.14535
37	62319.16294
38	62302.4114
39	62278.21206
