iter	Passed	Remaining
0	70	70016
1	82	41009
2	94	31328
3	106	26528
4	119	23795
5	133	22137
6	146	20780
7	159	19826
88	262	2888899	288	28603
10	319	28729
11	338	27902
12	366	27810
13	393	27681
14	417	27403
15	439	27004
16	468	27084
17	493	26945
18	521	26928
19	545	26740
20	571	26646
21	597	26552
22	626	26605
23	647	26350
24	674	26289
25	701	26284
26	725	26138
27	745	25890
28	772	25860
29	790	25573
30	810	25329
31	842	25486
32	868	25448
33	889	25266
34	912	25154
35	938	25132
36	969	25222
37	996	25236
38	1026	25284
39	1049	25195
40	1071	25056
41	1092	24930
42	1114	24801
43	1137	24724
44	1157	24561
45	1180	24491
46	1204	24430
47	1228	24359
48	1251	24289
49	1277	24265
50	1300	24200
51	1329	24239
52	1356	24240
53	1379	24175
54	1403	24121
55	1426	24046
56	1454	24059
57	1480	24051
58	1507	24047
59	1531	23996
60	1558	23990
61	1585	23985
62	1608	23915
63	1630	23842
64	1654	23795
65	1675	23713
66	1699	23666
67	1725	23654
68	1750	23624
69	1775	23585
70	1796	23501
71	1825	23523
72	1847	23456
73	1875	23473
74	1901	23450
75	1924	23402
76	1950	23382
77	1977	23374
78	2001	23333
79	2024	23280
80	2050	23264
81	2075	23238
82	2099	23196
83	2118	23100
84	2142	23065
85	2168	23042
86	2192	23010
87	2215	22961
88	2236	22891
89	2263	22882
90	2288	22858
91	2318	22878
92	2347	22896
93	2373	22880
94	2399	22853
95	2423	22817
96	2443	22749
97	2465	22688
98	2493	22692
99	2515	22640
100	2540	22609
101	2562	22556
102	2586	22525
103	2612	22510
104	2635	22463
105	2662	22452
106	2685	22408
107	2708	22371
108	2737	22380
109	2763	22355
110	2781	22277
111	2805	22241
112	2830	22215
113	2853	22179
114	2875	22127
115	2895	22067
116	2926	22083
117	2949	22047
118	2972	22005
119	2998	21989
120	3022	21953
121	3052	21968
122	3073	21917
123	3102	21917
124	3125	21877
125	3151	21862
126	3174	21823
127	3196	21778
128	3217	21723
129	3246	21729
130	3274	21719
131	3297	21683
132	3321	21652
133	3345	21623
134	3376	21631
135	3404	21626
136	3430	21606
137	3453	21569
138	3473	21516
139	3495	21469
140	3519	21442
141	3540	21394
142	3566	21371
143	3590	21344
144	3611	21294
145	3632	21250
146	3655	21209
147	3681	21191
148	3706	21169
149	3733	21154
150	3761	21148
151	3787	21130
152	3817	21135
153	3841	21103
154	3861	21053
155	3884	21016
156	3913	21015
157	3934	20968
158	3960	20949
159	3988	20940
160	4009	20895
161	4032	20860
162	4054	20819
163	4079	20797
164	4109	20796
165	4133	20765
166	4163	20766
167	4188	20741
168	4213	20718
169	4236	20684
170	4265	20678
171	4286	20633
172	4313	20618
173	4342	20614
174	4364	20576
175	4393	20567
176	4421	20557
177	4446	20535
178	4468	20495
179	4496	20485
180	4518	20446
181	4545	20428
182	4570	20406
183	4593	20369
184	4620	20353
185	4644	20324
186	4667	20292
187	4692	20267
188	4715	20234
189	4743	20223
190	4774	20221
191	4797	20187
192	4824	20172
193	4850	20153
194	4876	20129
195	4900	20100
196	4923	20069
197	4946	20035
198	4973	20018
199	4998	19995
200	5023	19968
201	5045	19932
202	5067	19894
203	5088	19854
204	5110	19819
205	5131	19777
206	5157	19758
207	5181	19727
208	5208	19710
209	5232	19684
210	5253	19645
211	5278	19619
212	5302	19590
213	5332	19584
214	5357	19561
215	5378	19522
216	5401	19488
217	5420	19443
218	5442	19410
219	5462	19368
220	5489	19351
221	5514	19324
222	5540	19304
223	5564	19276
224	5585	19240
225	5608	19207
226	5630	19173
227	5655	19150
228	5679	19120
229	5704	19096
230	5727	19067
231	5754	19048
232	5779	19026
233	5809	19016
234	5835	18996
235	5859	18967
236	5884	18944
237	5909	18919
238	5934	18894
239	5957	18865
240	5978	18827
241	5999	18790
242	6021	18758
243	6047	18738
244	6074	18718
245	6098	18693
246	6126	18677
247	6150	18650
248	6169	18608
249	6193	18579
250	6220	18561
251	6249	18549
252	6276	18532
253	6304	18515
